Time (s)	mag_x	mag_y	mag_z
1479414248.545025	23.149011	9.974542	-61.262473
1479414248.599272	23.237357	10.706479	-61.088603
1479414248.611164	23.659417	10.501121	-61.204634
1479414248.635012	23.615387	10.329859	-61.245578
1479414248.647234	23.889419	10.268965	-61.680605
1479414248.665108	24.108645	10.496813	-61.748314
1479414248.677237	24.284026	10.679091	-61.802481
1479414248.701355	24.029621	10.485244	-61.754341
1479414248.713316	24.003541	10.600695	-61.737225
1479414248.725605	23.982677	10.554775	-61.723532
1479414248.743485	24.038407	10.587180	-62.062968
1479414248.761414	24.082992	10.613104	-62.334517
1479414248.767335	23.828972	10.495561	-62.131287
1479414248.803270	23.831388	10.542681	-62.138233
1479414248.827211	23.700111	10.370083	-62.184494
1479414248.833010	23.595089	10.232004	-62.221503
1479414248.845264	23.728337	10.190681	-62.181033
1479414248.875148	24.137480	9.923755	-62.473145
1479414248.881230	23.727719	10.497208	-62.522503
1479414248.899513	23.399910	10.955970	-62.561988
1479414248.911345	23.572194	10.631573	-62.593577
1479414248.923160	23.710021	10.233774	-62.478691
1479414248.959133	23.573497	9.955084	-61.777904
1479414248.977195	23.421376	9.969145	-61.685997
1479414248.995082	23.661789	9.772973	-61.682549
1479414249.001191	23.854119	10.030878	-61.819947
1479414249.013116	24.007983	10.237203	-61.929866
1479414249.037201	24.446813	10.077982	-62.074133
1479414249.067203	24.756633	9.948425	-62.558902
1479414249.109117	24.723500	10.461672	-62.699153
1479414249.115311	24.631066	10.650979	-62.563152
1479414249.133158	24.412275	10.664143	-62.594508
1479414249.145270	24.164820	10.605533	-62.409358
1479414249.169112	23.953329	10.521135	-62.002586
1479414249.181234	23.870086	10.698549	-62.146055
1479414249.223125	23.664141	10.450252	-62.356028
1479414249.235071	23.711157	10.157858	-62.358731
1479414249.247175	23.748770	9.923943	-62.080580
1479414249.264899	23.996125	10.220795	-62.068294
1479414249.271082	24.194010	10.458277	-62.058465
1479414249.289210	24.135052	10.440841	-62.120680
1479414249.301342	24.305152	10.219470	-62.380687
1479414249.313036	24.441231	10.042373	-62.588692
1479414249.330789	24.260407	10.177258	-62.334627
1479414249.367189	23.892954	9.320475	-62.088171
1479414249.384855	23.749364	8.977474	-62.284601
1479414249.421073	24.310265	9.410037	-62.693601
1479414249.433213	24.445322	9.809671	-62.839023
1479414249.463450	24.943976	9.431002	-62.613947
1479414249.475313	25.024712	9.204177	-62.565066
1479414249.487357	24.727192	9.230139	-62.455882
1479414249.505567	24.127066	9.043486	-62.298458
1479414249.511328	23.646966	8.894164	-62.172518
1479414249.523419	23.697417	8.636425	-61.931610
1479414249.559546	23.407957	8.610984	-61.794937
1479414249.577471	23.324093	9.244624	-61.749513
1479414249.601337	23.719436	9.166169	-61.734457
1479414249.631423	23.552408	8.797911	-61.542618
1479414249.643411	23.621771	9.250829	-61.567846
1479414249.655410	23.677261	9.613164	-61.588029
1479414249.709464	24.410856	9.131396	-62.700880
1479414249.721296	24.670638	9.310195	-62.704690
1479414249.745318	24.465350	9.705947	-62.710177
1479414249.757245	24.931499	9.424133	-62.501893
1479414249.793201	25.602754	9.018321	-62.482277
1479414249.823259	25.649183	9.122584	-62.418852
1479414249.835264	25.806143	9.303145	-62.198756
