Time (s),mag_x,mag_y,mag_z
1479414260,23.180616,61.805673,-47.873945
1479414260,24.22147,59.965946,-48.551296
1479414260,24.482054,59.369302,-49.741645
1479414260,24.800018,59.249349,-50.445192
1479414260,24.764703,59.153387,-51.148187
1479414260,25.293223,58.738639,-52.020342
1479414260,25.963253,56.854685,-53.838924
1479414260,25.720895,55.491174,-53.666632
1479414260,26.035546,54.970526,-54.374976
1479414260,26.115234,54.693219,-54.78256
1479414260,26.39625,54.678795,-55.318862
1479414260,26.693485,54.321553,-55.53767
1479414260,26.477046,52.476482,-56.315172
1479414260,26.21531,51.257295,-56.756807
1479414260,26.186624,50.823806,-57.038416
1479414260,26.308518,50.338733,-57.684172
1479414260,26.537765,48.647919,-59.014766
1479414260,26.806697,48.252321,-59.475486
1479414260,26.976693,46.922112,-59.788533
1479414260,27.824194,45.337888,-59.834711
1479414260,27.401309,44.774609,-60.131443
1479414260,27.331921,42.079321,-61.582434
1479414260,28.559626,37.236187,-63.446133
1479414260,28.424186,35.942466,-63.861518
1479414260,28.446417,33.595524,-64.249437
1479414260,28.597029,31.394098,-64.335566
1479414261,25.868544,17.416724,-64.842569
1479414261,25.570899,16.75791,-64.843878
1479414261,25.598673,16.379376,-64.839557
1479414261,24.928932,14.824832,-64.482945
1479414261,24.433302,14.210647,-64.480733
1479414261,24.10922,14.065003,-64.268729
1479414261,24.16398,14.10418,-64.468005
1479414261,24.473137,13.841548,-64.398703
1479414261,25.026194,13.256506,-64.4281
1479414261,25.162909,13.163408,-64.086466
1479414261,25.504622,12.614503,-63.594514
1479414261,25.690495,12.234962,-63.419597
1479414261,24.900792,12.44897,-63.041577
1479414261,24.4352,11.927249,-62.685592
1479414261,24.328004,11.754299,-62.482225
1479414261,24.097404,11.892502,-62.319532
1479414261,23.40597,11.657361,-62.539768
1479414261,22.852823,11.469249,-62.715957
1479414261,23.118517,9.202635,-62.533345
1479414261,24.522305,8.107458,-62.594594
1479414261,24.614954,7.523076,-62.339349
1479414261,24.689073,7.05557,-62.135153
1479414261,25.24482,6.17494,-62.051345
1479414261,25.614982,5.652821,-61.955661
1479414261,25.779464,4.862337,-61.600095
1479414261,26.59134,3.980189,-60.8235
1479414261,26.535518,3.026926,-60.464224
1479414261,26.368607,3.928483,-60.645575
1479414261,26.131425,4.878839,-60.130937
1479414261,25.079769,5.570575,-60.233872
1479414261,24.843659,5.424429,-60.380693
1479414261,25.016881,5.929778,-60.568228
1479414262,25.155458,6.334057,-60.718256
1479414262,24.572853,6.418406,-60.850203
1479414262,24.489674,6.472389,-61.130867
1479414262,24.928907,6.506939,-60.946086
1479414262,25.085079,6.380942,-60.880387
1479414262,25.137595,5.79616,-61.178217
1479414262,25.179608,5.328334,-61.416482
1479414262,25.48634,4.806775,-61.072817
1479414262,26.171851,3.854944,-60.976805
1479414262,26.957555,2.796966,-60.075715
1479414262,26.997685,3.136401,-59.903777
1479414262,27.029789,3.407949,-59.766226
1479414262,27.127894,3.279485,-59.726264
1479414262,26.878087,2.970042,-59.794859
1479414262,26.716845,3.205721,-59.889326
1479414262,26.660274,3.601687,-59.894822
1479414262,26.448455,4.913908,-60.283972
1479414262,26.517983,5.45222,-60.420773
1479414262,26.662393,6.23474,-60.617731
1479414262,26.616711,6.99287,-60.757858
1479414262,26.580166,7.599375,-60.86996
1479414262,26.55093,7.808016,-61.099798
1479414262,26.09301,7.836647,-61.704137
1479414262,25.868137,7.877876,-62.153917
1479414262,25.764041,8.099958,-62.61751
1479414262,26.338362,8.281473,-62.444147
1479414262,27.024584,8.287018,-62.165008
1479414262,27.12373,8.012427,-62.065758
1479414262,26.745063,7.617016,-62.17512
1479414262,26.900113,7.614707,-62.35416
1479414262,27.123386,7.362475,-62.611978
1479414262,27.005561,7.449953,-61.767857
1479414262,26.963668,7.342775,-62.168506
1479414262,26.857732,7.464455,-61.998478
1479414262,26.772983,7.561798,-61.862456
